f1e51f61c,finnjones,Mon Aug 22 18:26:29 2022 +1000,Code Comments,
c19be3424,Finn-Jones1,Sun Aug 21 22:42:07 2022 +1000,fixing the recharts formatting,
abffe83e0,finnjones,Sun Aug 21 21:39:34 2022 +1000,Small error fix,
45ad2fafb,Finn-Jones1,Sat Aug 20 16:51:06 2022 +1000,build file,
9794c3873,Finn-Jones1,Sat Aug 20 16:50:25 2022 +1000,update gitignore,
818637019,Finn-Jones1,Sat Aug 20 16:29:17 2022 +1000,Pretty much finished,There is not much else to be done. I have made some minor adjustments after receiving feedback on how I could improve the interface.

e1ddbf488,finnjones,Sat Aug 20 10:36:50 2022 +1000,working on deadline functionality,I have implemented a deadline widget to allow the user to set the deadline of the vote. I have also included a countdown clock on the vote screen and on the vote analytics screen

bb527a85c,finnjones,Tue Aug 16 22:24:09 2022 +1000,Count Down For Vote,
29eb1be81,Finn-Jones1,Mon Aug 15 21:52:56 2022 +1000,working on some ui tweaks,
e079cd80a,finnjones,Sun Aug 14 12:06:24 2022 +1000,code comments,
4e734777b,finnjones,Sat Aug 13 15:52:06 2022 +1000,fix .gitignore,
52a7fd918,finnjones,Sat Aug 13 15:11:31 2022 +1000,Merge branch 'main' of https://github.com/finnjones/Blockchain-Voting,
0b8f233b3,finnjones,Sat Aug 13 15:11:05 2022 +1000,Screwed up the gitignore,
255319df4,Finn Jones,Sat Aug 13 14:59:37 2022 +1000,Delete sshKey,
ff6c2394e,finnjones,Sat Aug 13 11:43:01 2022 +1000,loads of cleanup,
d99ca72bd,Finn Jones,Sun Aug 7 21:32:47 2022 +1000,Merge pull request #1 from finnjones/dependabot/npm_and_yarn/Testing/create-daml-app/ui/terser-4.8.1,Bump terser from 4.8.0 to 4.8.1 in /Testing/create-daml-app/ui
2a18aa4ea,dependabot[bot],Sun Aug 7 10:37:32 2022 +0000,Bump terser from 4.8.0 to 4.8.1 in /Testing/create-daml-app/ui,Bumps [terser](https://github.com/terser/terser) from 4.8.0 to 4.8.1.
- [Release notes](https://github.com/terser/terser/releases)
- [Changelog](https://github.com/terser/terser/blob/master/CHANGELOG.md)
- [Commits](https://github.com/terser/terser/compare/v4.8.0...v4.8.1)

---
updated-dependencies:
- dependency-name: terser
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
b664f932a,Finn Jones,Sun Aug 7 20:33:41 2022 +1000,Create codeql-analysis.yml,testing code analysis
2c5ecf2c7,finnjones,Fri Jul 22 21:55:13 2022 +1000,Cleanup,
672587ee0,finnjones,Fri Jul 22 17:15:16 2022 +1000,Left in a bunch debug stuff,
eb23cdae5,finnjones,Fri Jul 22 12:34:01 2022 +1000,help screen and preloader,
ad15507ff,Finn-Jones1,Thu Jul 21 22:10:26 2022 +1000,working on the preloader for the site,
0f226088e,finnjones,Wed Jul 20 13:15:20 2022 +1000,websockets,
2bf041c65,Finn-Jones1,Tue Jul 19 11:02:54 2022 +1000,Really Cool Auth0,auth0 partially implemented and help button implemented also some new options in the menu to archive an active vote. Some ui adjustments too

f3a8c4abc,Finn-Jones1,Thu Jul 14 17:13:19 2022 +1000,Code cleanup and new icon,
b21521261,Finn-Jones1,Thu Jul 14 13:09:54 2022 +1000,new version daml,
0549c5ecb,finnjones,Wed Jul 13 21:31:53 2022 +1000,Update README.md,
ee8879367,finnjones,Wed Jul 13 21:31:32 2022 +1000,New readme,
621db1cc6,Finn-Jones1,Tue Jul 12 16:41:17 2022 +1000,Better analytics,
3b66a78c0,Finn-Jones1,Mon Jul 11 21:37:16 2022 +1000,formatting,
a9d4550c1,Finn-Jones1,Mon Jul 11 19:54:59 2022 +1000,another error,
a6f2c7ac9,Finn-Jones1,Mon Jul 11 17:54:07 2022 +1000,small error,
